,Company,New Filing?,Reported funding,Incremental Cash ,Date,New or Amended
41,"Verte Capital, LLC  (Pooled Investment Fund - Brookeville, MD)",Yes,"$50,000","$50,000",2019-01-23,New Filing
42,"Ensurise, LLC  (Insurance - Bethesda, MD)",Yes,"$1,055,000","$1,055,000",2019-01-22,New Filing
43,"1788/405/Trojan Investors, LLC  (Commercial - Bethesda, MD)",Yes,"$1,165,000","$1,165,000",2019-01-22,New Filing
44,"Lions Mane Financial, L.L.C.  (REITS and Finance - Bethesda, MD)",Yes,Yet to Sell,$0,2019-01-22,New Filing
45,"District Cider Company, Inc.  (Other - Washington, D.C., DC)",Yes,"$1,218,874","$1,218,874",2019-01-22,New Filing
46,"Verte Capital, LLC  (Pooled Investment Fund - Brookeville, MD)",Yes,"$40,000","$40,000",2019-01-18,New Filing
47,"Aledade, Inc.  (Other Health Care - Bethesda, MD)",No,"$56,149,963","$10,000,000",2019-01-18,Amended
48,"Carlyle Global Infrastructure Opportunity Fund, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$1,300,557,000","$544,467,000",2019-01-18,Amended
49,"Frontier Financial Group, Inc.  (Other - Washington, DC)",Yes,"$2,150,000","$2,150,000",2019-01-18,New Filing
50,"GEF Latin America Fund II-C1, L.P.  (Pooled Investment Fund - Bethesda, MD)",Yes,Yet to Sell,$0,2019-01-18,New Filing
51,"GEF Latin America Fund II-C2, L.P.  (Pooled Investment Fund - Bethesda, MD)",Yes,Yet to Sell,$0,2019-01-18,New Filing
52,"GEF Latin America Fund II-S, L.P.  (Pooled Investment Fund - Bethesda, MD)",Yes,Yet to Sell,$0,2019-01-18,New Filing
53,"GEF Latin America Fund II-ISS, L.P.  (Pooled Investment Fund - Bethesda, MD)",Yes,Yet to Sell,$0,2019-01-18,New Filing
54,"FHL HEALTHCARE FUND, LP  (Pooled Investment Fund - Rockville, MD)",No,"$4,450,000","$4,450,000",2019-01-18,Amended
55,"KB Funding, LLC  (Investing - Potomac, MD)",Yes,"$200,000","$200,000",2019-01-18,New Filing
56,"Verte Capital, LLC  (Pooled Investment Fund - Brookeville, MD)",No,"$25,000","$20,000",2019-01-18,Amended
57,"Dove Watercraft LLC  (Manufacturing - Glenn Dale, MD)",Yes,Yet to Sell,$0,2019-01-17,New Filing
58,"PROOF Sweetgreen, LLC, a series of PROOF Master I, LLC  (Pooled Investment Fund - Reston, VA)",Yes,"$1,620,705","$1,620,705",2019-01-17,New Filing
59,"Tusk Bird P, LLC, a series of PROOF Master I, LLC  (Pooled Investment Fund - Reston, VA)",No,"$1,717,230","$1,046,420",2019-01-17,Amended
60,"Martis Partners III, LP  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2019-01-17,New Filing
61,"TZG Stadium Suites LLC  (Other Real Estate - North Bethesda, MD)",Yes,Yet to Sell,$0,2019-01-16,New Filing
62,"Verte Capital, LLC  (Pooled Investment Fund - Brookeville, MD)",Yes,"$5,000","$5,000",2019-01-16,New Filing
63,"Carlyle Sabre Coinvestment, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2019-01-15,New Filing
64,"GreyNoise Intelligence, Inc.  (Other Technology - Washington, DC)",Yes,Yet to Sell,$0,2019-01-15,New Filing
65,"Riot Ventures Opportunity II-B LLC  (Pooled Investment Fund - Reston, VA)",Yes,"$618,000","$618,000",2019-01-15,New Filing
66,"FREETHINK MEDIA, INC.  (Other - Washington, DC)",Yes,"$8,299,999","$8,299,999",2019-01-14,New Filing
67,"Giant Oak, Inc.  (Other - Arlington, VA)",Yes,"$22,271","$22,271",2019-01-14,New Filing
68,"Strategic Emerging Markets Equity Trust  (Pooled Investment Fund - Arlington, VA)",Yes,"$324,388,451","$324,388,451",2019-01-14,New Filing
69,"Sands Capital Private Growth Fund III-DC, L.P.  (Pooled Investment Fund - Arlington, VA)",Yes,"$5,100,000","$5,100,000",2019-01-11,New Filing
70,"Cyborg Industries, LLC  (Other Technology - Tysons, VA)",Yes,"$1,063,000","$1,063,000",2019-01-11,New Filing
71,"Middleburg Workforce Housing Fund, LLC  (Other Real Estate - Vienna, VA)",Yes,"$15,000,000","$15,000,000",2019-01-11,New Filing
72,"CERF Co-Investment, S.C.Sp.  (Pooled Investment Fund - Washington, DC)",No,"$42,700,000","$42,700,000",2019-01-10,Amended
73,"NormShield Inc.  (Other Technology - Vienna, VA)",Yes,"$3,099,984","$3,099,984",2019-01-10,New Filing
74,"Onclave Networks Inc  (Other Technology - Mclean, VA)",Yes,"$1,000,000","$1,000,000",2019-01-10,New Filing
75,"Ubiquitilink, Inc.  (Other Technology - Falls Church, VA)",Yes,"$4,465,000","$4,465,000",2019-01-10,New Filing
76,"Invictus Onshore REIT II, LLC  (REITS and Finance - Washington, DC)",Yes,"$125,000","$125,000",2019-01-09,New Filing
77,"Sirnaomics, Inc.  (Biotechnology - Gaithersburg, MD)",Yes,"$25,000,000","$25,000,000",2019-01-08,New Filing
78,"Winston Asia Fund, L.P.  (Pooled Investment Fund - Arlington, VA)",Yes,"$44,201,634","$44,201,634",2019-01-08,New Filing
79,"CustomerFirst Energy Holdings LLC  (Other Energy - Gaithersburg, MD)",Yes,"$2,000,000","$2,000,000",2019-01-08,New Filing
80,"Sirnaomics, Inc.  (Biotechnology - Gaithersburg, MD)",Yes,"$11,000,000","$11,000,000",2019-01-08,New Filing
81,"Solomon Hess Opportunity Fund LLC  (Pooled Investment Fund - Falls Church, VA)",No,"$12,632,376",$0,2019-01-08,Amended
82,"MDR Precision Fund, LP  (Pooled Investment Fund - Bethesda, MD)",No,"$3,520,512",$0,2019-01-08,Amended
83,"Verte Capital, LLC  (Pooled Investment Fund - Brookeville, MD)",Yes,"$82,000","$82,000",2019-01-08,New Filing
84,"Verte Capital, LLC  (Pooled Investment Fund - Brookeville, MD)",Yes,"$60,000","$60,000",2019-01-08,New Filing
85,"Perthera, Inc.  (Other Health Care - Mclean, VA)",Yes,"$2,100,000","$2,100,000",2019-01-07,New Filing
86,"Verato, Inc.  (Other Technology - Mclean, VA)",Yes,"$10,000,002","$10,000,002",2019-01-07,New Filing
87,"Central Place REIT, L.L.C.  (REITS and Finance - Chevy Chase, MD)",Yes,"$125,000","$125,000",2019-01-07,New Filing
88,"JBGS/1900 N REIT, L.L.C.  (REITS and Finance - Chevy Chase, MD)",Yes,"$125,000","$125,000",2019-01-07,New Filing
89,"Digital Asset Capital, Inc.  (Other Technology - Gaithersburg, MD)",Yes,"$850,000","$850,000",2019-01-07,New Filing
90,"MH Fund II Trust  (REITS and Finance - Crofton, MD)",Yes,"$125,000","$125,000",2019-01-04,New Filing
91,"FCP Sylvan Supply, LP  (REITS and Finance - Chevy Chase, MD)",Yes,"$125,000","$125,000",2019-01-04,New Filing
92,"FCP Fund IV Trust  (REITS and Finance - Chevy Chase, MD)",Yes,"$125,000","$125,000",2019-01-04,New Filing
93,"Woodlock Family Capital, L.P.  (Pooled Investment Fund - Gaithersburg, MD)",Yes,"$25,856,000","$25,856,000",2019-01-03,New Filing
94,"Oakhouse Partners P1, LLC, a series of PROOF Master I, LLC  (Pooled Investment Fund - Reston, VA)",Yes,"$2,214,500","$2,214,500",2019-01-03,New Filing
95,"Mytonomy, Inc.  (Other Technology - Bethesda, MD)",No,"$9,312,679","$2,114,956",2019-01-03,Amended
96,"Global Medical REIT L.P.  (REITS and Finance - Bethesda, MD)",Yes,"$10,000,000","$10,000,000",2019-01-03,New Filing
97,"Carlyle Credit Opportunities Fund (Parallel), L.P.  (Pooled Investment Fund - Washington, DC)",No,"$963,300,000","$163,300,000",2019-01-03,Amended
98,"Nor Labs, Inc.  (Other - Fulton, MD)",Yes,"$2,000,000","$2,000,000",2019-01-02,New Filing
99,"Iron Point Real Estate Partners IV, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$521,556,560","$403,806,560",2019-01-02,Amended
100,"Bespoken Holdings, Inc.  (Other Technology - Washington, DC)",Yes,"$500,000","$500,000",2019-01-02,New Filing
101,"Epoch Coinvestment, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,"$48,000,000","$48,000,000",2019-01-02,New Filing
102,"CyberWire, Inc.  (Other Technology - Fulton, MD)",No,"$1,390,627","$505,415",2019-01-02,Amended
103,"Think Italian LLC  (Other - Washington, DC)",Yes,"$430,800","$430,800",2018-12-31,New Filing
104,"Nor Labs, Inc.  (Other - Fulton, MD)",Yes,"$1,000,000","$1,000,000",2018-12-31,New Filing
105,"GTT Communications, Inc.  (Telecommunications - Mclean, VA)",Yes,"$4,167,702","$4,167,702",2018-12-31,New Filing
106,"Alpine Ridge Capital Fund, LP  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2018-12-31,New Filing
107,"QPOINT 23 LLC  (Construction - Tysons, VA)",Yes,"$1,000,000","$1,000,000",2018-12-31,New Filing
108,"BA North Quincy Investors, LLC  (Other Real Estate - Greenbelt, MD)",Yes,"$7,365,000","$7,365,000",2018-12-28,New Filing
109,"Pere Marquette Parent Holdings, LLC  (REITS and Finance - Washington, DC)",Yes,"$125,000","$125,000",2018-12-28,New Filing
110,"Verte Capital, LLC  (Pooled Investment Fund - Brookeville, MD)",Yes,"$60,000","$60,000",2018-12-28,New Filing
111,"Emerald Co-Investment Ltd  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2018-12-28,New Filing
112,"Verte Capital, LLC  (Pooled Investment Fund - Brookeville, MD)",No,"$410,000",$0,2018-12-27,Amended
113,"Cantina Calle N LLC  (Restaurants - Washington, DC)",No,"$107,500",$0,2018-12-27,Amended
114,"PROOF Skillz, LLC, a series of PROOF Master I, LLC  (Pooled Investment Fund - Reston, VA)",Yes,"$4,482,000","$4,482,000",2018-12-27,New Filing
115,"BOA1 P, LLC, a series of PROOF Master I, LLC  (Pooled Investment Fund - Reston, VA)",Yes,"$782,800","$782,800",2018-12-27,New Filing
116,"Artemis Real Estate Partners Fund III, L.P.  (Pooled Investment Fund - Chevy Chase, MD)",No,"$949,800,000","$288,750,000",2018-12-24,Amended
117,"ACON Bios Investors, L.P.  (Biotechnology - Washington, DC)",Yes,"$25,000,000","$25,000,000",2018-12-21,New Filing
118,"BTCS Inc.  (Other - Silver Spring, MD)",Yes,"$200,000","$200,000",2018-12-21,New Filing
119,"Cumberland Forest, L.P.  (Pooled Investment Fund - Arlington, VA)",Yes,Yet to Sell,$0,2018-12-19,New Filing
120,"EIG Energy Fund XVII-E, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2018-12-19,New Filing
121,"CoolCAD Electronics, LLC  (Other Technology - College Park, MD)",Yes,"$375,000","$375,000",2018-12-19,New Filing
122,"Carlyle Alternative Opportunities Fund, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,"$475,400,000","$475,400,000",2018-12-19,New Filing
123,"Jos. A. Magnus & Co. LLC  (Other - Washington, DC)",Yes,"$2,850,000","$2,850,000",2018-12-19,New Filing
124,"DiamondRock Hospitality Limited Partnership  (REITS and Finance - Bethesda, MD)",Yes,"$9,368,899","$9,368,899",2018-12-18,New Filing
125,"Dexter Winston TE Fund LLC  (Pooled Investment Fund - Arlington, VA)",No,"$59,376,737",$0,2018-12-17,Amended
126,"Dexter Winston Fund, L.P.  (Pooled Investment Fund - Arlington, VA)",No,"$23,551,000",$0,2018-12-17,Amended
127,"Spamiltour, LLC  (Other - Rockville, MD)",Yes,Yet to Sell,$0,2018-12-14,New Filing
128,"Carlyle Asia PE Alternative Opportunities Fund, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2018-12-14,New Filing
129,"SQM Frontier Middle East Fund, LP  (Pooled Investment Fund - Arlington, VA)",No,"$175,887,291","$39,000,000",2018-12-14,Amended
130,"LePrix Inc.  (Retailing - Arlington, VA)",No,"$771,903",$0,2018-12-13,Amended
131,"SOVA DSC Investment LLC  (Commercial - Washington, DC)",Yes,Yet to Sell,$0,2018-12-13,New Filing
132,"1250 DSC Investment LLC  (Commercial - Washington, DC)",Yes,"$4,800,000","$4,800,000",2018-12-13,New Filing
133,"IYOTEE, INC.  (Other Technology - Mclean, VA)",Yes,"$1,500,000","$1,500,000",2018-12-13,New Filing
134,"ClearForce, Inc.  (Other Technology - Vienna, VA)",Yes,"$1,200,000","$1,200,000",2018-12-12,New Filing
135,"Carlyle Europe Realty Fund, S.C.Sp.  (Pooled Investment Fund - Washington, DC)",No,"$585,043,699","$585,043,699",2018-12-12,Amended
136,"POWERUP TECHNOLOGY INC.  (Other Banking and Financial Services - Vienna, VA)",Yes,"$1,070","$1,070",2018-12-12,New Filing
137,"LePrix Inc.  (Retailing - Arlington, VA)",No,"$771,903",$0,2018-12-12,Amended
138,"LePrix Inc.  (Retailing - Arlington, VA)",Yes,"$771,903","$771,903",2018-12-12,New Filing
139,"ACON Fleet Investors I, L.L.C.  (Other - Washington, DC)",Yes,"$3,715,000","$3,715,000",2018-12-12,New Filing
140,"Till Inc  (Other Technology - Alexandria, VA)",Yes,"$1,300,000","$1,300,000",2018-12-12,New Filing
141,"WhyHotel, Inc.  (Other Technology - Washington, DC)",Yes,"$10,125,000","$10,125,000",2018-12-11,New Filing
142,"Verte Capital, LLC  (Pooled Investment Fund - Brookeville, MD)",Yes,"$28,500","$28,500",2018-12-10,New Filing
143,"BCM Partners Fund, LP  (Pooled Investment Fund - Arlington, VA)",No,"$100,768,028","$5,501,911",2018-12-07,Amended
144,"Venture Global LNG, Inc.  (Oil and Gas - Arlington, VA)",Yes,"$5,005,000","$5,005,000",2018-12-06,New Filing
145,"Carlyle Encore Coinvestment, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2018-12-06,New Filing
146,"CAVA GROUP, INC.  (Restaurants - Washington, DC)",Yes,"$283,674,512","$283,674,512",2018-12-06,New Filing
147,"Verte Capital, LLC  (Pooled Investment Fund - Brookeville, MD)",Yes,"$165,000","$165,000",2018-12-06,New Filing
148,"Verte Capital, LLC  (Pooled Investment Fund - Brookeville, MD)",Yes,"$240,003","$240,003",2018-12-06,New Filing
149,"Verte Capital, LLC  (Pooled Investment Fund - Brookeville, MD)",Yes,"$225,000","$225,000",2018-12-06,New Filing
150,"CuriosityStream Inc.  (Other - Silver Spring, MD)",Yes,"$114,684,000","$114,684,000",2018-12-05,New Filing
151,"Intelligent Cranium Helmets, LLC  (Other Technology - Springfield, VA)",Yes,"$2,000","$2,000",2018-12-04,New Filing
152,"Intelligent Cranium Helmets, LLC  (Other Technology - Springfield, VA)",Yes,"$10,000","$10,000",2018-12-04,New Filing
153,"WOODMONT CAPITAL LP  (Pooled Investment Fund - Arlington, VA)",No,"$990,000","$990,000",2018-12-04,Amended
154,"Verte Capital, LLC  (Pooled Investment Fund - Brookeville, MD)",Yes,"$40,000","$40,000",2018-12-04,New Filing
155,"Carlyle Realty Coinvestment VIII, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$150,000,000",$0,2018-12-04,Amended
156,"Verte Capital, LLC  (Pooled Investment Fund - Brookeville, MD)",Yes,"$40,000","$40,000",2018-12-04,New Filing
157,"Penzance DC Real Estate Fund REIT LLC  (REITS and Finance - Washington, DC)",Yes,"$125,000","$125,000",2018-12-04,New Filing
158,"CER Penha Longa Co-Investment, S.C.Sp.  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2018-12-03,New Filing
159,"Global Medical REIT L.P.  (REITS and Finance - Bethesda, MD)",Yes,"$2,738,698","$2,738,698",2018-12-03,New Filing
160,"Verte Capital, LLC  (Pooled Investment Fund - Brookeville, MD)",Yes,"$130,000","$130,000",2018-11-30,New Filing
161,"Fonkoze USA, Inc.  (Other - Washington, DC)",No,"$3,770,437","$10,000",2018-11-30,Amended
162,"Lemongrass Holdings, Inc.  (Other - Alexandria, VA)",Yes,"$7,260,000","$7,260,000",2018-11-30,New Filing
163,"UIP NY Ave Invest, LLC  (Other Real Estate - Washington, DC)",No,"$2,020,000","$2,000,000",2018-11-30,Amended
164,"Diary of a Made Man  (Other Technology - Washington, DC)",No,Yet to Sell,$0,2018-11-30,Amended
165,"Carlyle Credit Opportunities Fund Note Issuer, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2018-11-29,New Filing
166,"MEPT Seaport 13 Stillings LLC  (REITS and Finance - Bethesda, MD)",Yes,"$125,000","$125,000",2018-11-29,New Filing
167,"IYOTEE, INC.  (Other Technology - Mclean, VA)",Yes,"$1,250,000","$1,250,000",2018-11-29,New Filing
168,"Otolith Sound, Inc.  (Biotechnology - Washington, DC)",Yes,"$750,000","$750,000",2018-11-28,New Filing
169,"SAR, LLC  (Other Technology - Bethesda, MD)",Yes,"$100,000","$100,000",2018-11-28,New Filing
170,"Pearl Biotech & Life Sciences Fund, L.P.  (Pooled Investment Fund - Mclean, VA)",No,"$2,550,000","$2,550,000",2018-11-27,Amended
171,"Invictus Opportunity GP Coinvest, L.P.- Series B  (Pooled Investment Fund - Washington, DC)",No,"$1,500,000","$350,000",2018-11-27,Amended
172,"Invictus Opportunity Offshore Feeder II, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$105,498,000","$23,000,000",2018-11-27,Amended
173,"Invictus Opportunity Fund II, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$398,152,000","$200,800,000",2018-11-27,Amended
174,"ACON Beauty Investors I, L.L.C.  (Retailing - Washington, DC)",Yes,"$4,360,000","$4,360,000",2018-11-26,New Filing
175,"Good World, Inc.  (Other Technology - Washington, Dc, DC)",Yes,"$750,000","$750,000",2018-11-26,New Filing
176,"Verte Capital, LLC  (Pooled Investment Fund - Brookeville, MD)",Yes,"$73,000","$73,000",2018-11-23,New Filing
177,"Verte Capital, LLC  (Pooled Investment Fund - Brookeville, MD)",Yes,"$130,000","$130,000",2018-11-23,New Filing
178,"PROPEL GPS, LLC  (Other Technology - Reston, VA)",Yes,"$315,000","$315,000",2018-11-21,New Filing
179,"TCG Diamond Holdings, LLC  (Business Services - Washington, DC)",No,"$19,816,097","$5,551,289",2018-11-21,Amended
180,"Verte Capital, LLC  (Pooled Investment Fund - Brookeville, MD)",Yes,"$575,250","$575,250",2018-11-21,New Filing
181,"Remedy Plan, Inc.  (Pharmaceuticals - Rockville, MD)",Yes,"$1,500,000","$1,500,000",2018-11-20,New Filing
182,"Motionsoft, Inc.  (Other Technology - Rockville, MD)",Yes,"$6,930,000","$6,930,000",2018-11-20,New Filing
183,"Cybernetex Corp.  (Other Technology - Arlington, VA)",Yes,"$328,000","$328,000",2018-11-20,New Filing
184,"NextCure, Inc.  (Biotechnology - Beltsville, MD)",Yes,"$93,432,873","$93,432,873",2018-11-19,New Filing
185,"Horizon MH Communities Fund II, LLC  (Other Real Estate - Crofton, MD)",No,"$189,750,000","$52,270,000",2018-11-19,Amended
186,"FP CAPITOL, LLC  (Commercial - Potomac, MD)",Yes,"$17,600,000","$17,600,000",2018-11-16,New Filing
187,"ULTRATA, LLC  (Other Technology - Vienna, VA)",No,"$6,000,000","$4,275,000",2018-11-15,Amended
188,"Motley Fool Ventures LP  (Pooled Investment Fund - Alexandria, VA)",No,"$145,736,001","$145,736,001",2018-11-15,Amended
189,"Advantia Holdings LLC  (Hospitals and Physicians - Arlington, VA)",Yes,"$12,476,634","$12,476,634",2018-11-13,New Filing
190,"RightEye, LLC  (Other Technology - Bethesda, MD)",Yes,"$1,500,000","$1,500,000",2018-11-13,New Filing
191,"BioInformatics, Inc.  (Other - Arlington, VA)",Yes,"$6,000,000","$6,000,000",2018-11-13,New Filing
192,"Sands Capital Ventures Fund-SLK, L.P.  (Pooled Investment Fund - Arlington, VA)",Yes,"$4,482,998","$4,482,998",2018-11-13,New Filing
193,"Artemis Fund III REIT, LLC  (REITS and Finance - Chevy Chase, MD)",Yes,"$125,000","$125,000",2018-11-13,New Filing
194,"HH CT KS LLC  (Commercial - Silver Spring, MD)",No,"$3,000,000",$0,2018-11-09,Amended
195,"CIEP Co-Investment, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$164,749,999",$0,2018-11-09,Amended
196,"CGP Coinvestment, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$129,353,383",$0,2018-11-09,Amended
197,"CSSAF Coinvestment, LP  (Pooled Investment Fund - Washington, DC)",No,"$43,019,850",$0,2018-11-09,Amended
198,"CEOF II Coinvestment, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$116,424,500",$0,2018-11-09,Amended
199,"CEMOF II Coinvestment, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$115,000,000",$0,2018-11-09,Amended
200,"CEOF II Coinvestment B, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$9,575,500",$0,2018-11-09,Amended
201,"CIEP Coinvestment B, LP  (Pooled Investment Fund - Washington, DC)",No,"$10,000,000",$0,2018-11-09,Amended
202,"EIG Limetree Co-Investment, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2018-11-09,New Filing
203,"FCP Realty Fund IV, L.P.  (Other Real Estate - Chevy Chase, MD)",No,"$755,000,000","$224,499,000",2018-11-08,Amended
204,"BM2 P, LLC, a series of PROOF Master I, LLC  (Pooled Investment Fund - Reston, VA)",No,"$10,995,250","$695,250",2018-11-08,Amended
205,"BM1 P, a Series of PROOF Master I, LLC  (Pooled Investment Fund - Reston, VA)",No,"$16,023,324","$1,068,574",2018-11-08,Amended
206,"3 Strong Ships, L.P.  (Pooled Investment Fund - Bethesda, MD)",No,"$10,905,000",$0,2018-11-08,Amended
207,"Revolution Ventures III, LP  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2018-11-08,New Filing
208,"Red Ace Capital Management Series XII Investors LLC  (Commercial - Bethesda, MD)",No,"$800,000","$250,000",2018-11-08,Amended
209,"ELDERSCAN, LLC  (Other Technology - Bethesda, MD)",Yes,$0,$0,2018-11-08,New Filing
210,"Crystal World Holdings, Inc.  (Other - Washington, DC)",Yes,"$10,000","$10,000",2018-11-08,New Filing
211,"Pennington Alternative Income IDF, LP  (Pooled Investment Fund - Bethesda, MD)",Yes,Yet to Sell,$0,2018-11-06,New Filing
212,"Tianyou Fund, L.P.  (Pooled Investment Fund - Annandale, VA)",No,"$167,774,761","$15,018,471",2018-11-06,Amended
